(奉俊昊, 执导, 寄生虫)
(好莱坞往事故事背景, 设定在, 1969年美国洛杉矶)
(彼得·法拉利, 执导, 绿皮书)
(维果·莫特森|马赫沙拉·阿里主演的剧情片, 首映, 绿皮书)
(绿皮书, 改编, 真人真事)
(绿皮书, 讲述, 保镖托尼被聘用|为世界上优秀的爵士钢琴家唐开车)
(世界上优秀的爵士钢琴家唐, 开车, 保镖托尼)
(世界上, 优秀爵士钢琴家, 唐)
(钢琴家, 开始, 举办巡回演奏)
(阿方索·卡隆, 执导, 罗马)
(雅利扎·阿巴里西奥|玛琳娜·德塔维拉领衔|主演的剧情片, 首映, 罗马)
(罗马, 讲述, 年轻女佣克里奥为长期与丈夫分离的索菲亚一家工作)
(拉米·马雷克, 主演, 波西米亚狂想曲布莱恩·辛格执导的音乐传记片)
(亚当·麦凯, 执导, 副总统)
(克里斯蒂安·贝尔等|艾米·亚当斯史蒂夫·卡瑞尔山姆·洛克威尔主演的剧情片, 上映, 副总统)
(影片, 讲述, 副总统切尼从白宫实习生做起|在步步政坛为营|并成功执掌大权的故事)
(乔治·库克, 执导, 一个明星的诞生)
(欧格斯·兰斯莫斯, 执导, 宠儿)
(奥利维娅·科尔曼|艾玛·斯通蕾切尔·薇姿主演的剧情片, 首映, 宠儿)
(英格兰, 最后一位女王, 安妮)
(宠儿, 为, 背景)
(宠儿, 讲述, 公爵夫人萨拉|与女仆阿比盖尔为得到安妮女王信任而上演的一场场勾心斗角的故事|2)
(18世纪, 早期英格兰位女王, 安妮)
(美国焦点电影公司, 发行, 黑色党徒)
(黑色党徒, 讲述, 一名科罗拉多州的黑人警察)
(黑色党徒, 潜入, 当地的3K党组织做卧底的故事)
(美国漫威影业公司, 出品, 黑豹)
(瑞恩·库格勒, 执导, 黑豹由美国漫威影业公司出品的科幻动作电影)
(查德维克·博斯曼|迈克尔·B乔丹露皮塔·尼永奥达娜·古瑞拉马丁·弗瑞曼, 联合, 黑豹由美国漫威影业公司出品的科幻动作电影)
(黑豹, 回到, 瓦坎达担任国王)
(水形物语故事, 设定, 在1963年的美国冷战时期)
(水形物语故事, 讲述, 在实验室做底层工作的哑女艾丽莎|和一条供实验用的人鱼之间的奇异爱情故事|1)
(三块广告牌, 讲述, 绝望的母亲米尔德丽德因女儿惨遭奸杀|而追凶无果无奈之下在路上竖起三块广告牌与警察局对峙的故事|1)
(绝望的母亲米尔德丽德, 竖起, 三块广告牌与警察局对峙的故事|1)
(史蒂文·斯皮尔伯格, 执导, 华盛顿邮报)
(ElizabethHannah|乔希·辛格编剧, 上映, 华盛顿邮报)
(华盛顿邮报, 讲述, 华盛顿邮报前发行|人凯·格拉汉姆|和编辑本·布拉德利与纽约时报展开竞争|刊登五角大楼文件来揭发政府大规模掩盖长达30年的|牵扯4位美国总统秘密的故事|1)
(保罗·托马斯·安德森, 执导, 魅影缝匠)
(丹尼尔·戴|刘易斯薇姬·克里普斯莱丝利·曼维尔主演的剧情片, 首映, 魅影缝匠)
(魅影缝匠, 讲述, 20世纪50年代的战后伦敦)
(美国A24公司, 发行, 伯德小姐)
(格蕾塔·葛韦格, 执导, 伯德小姐由美国A24公司发行的喜剧片)
(西尔莎·罗南|劳里·梅特卡夫卢卡斯·赫奇斯提莫西·查拉梅, 联合, 伯德小姐由美国A24公司发行的喜剧片)
(伯德小姐故事背景, 设定在, 2002年的加利福尼亚州)
(美国杰森·布朗姆工作室, 制作, 逃出绝命镇)
(逃出绝命镇, 讲述, 黑人小伙子克里斯|与白人女友露丝在相处阶段时发现了自己落入了一个邪恶的种族阴谋当中的故事)
(黑人小伙子, 克里斯, 露丝)
(逃出绝命镇, 荣获, 电影类最佳剧本)
(辛克匹影业, 出品, 敦刻尔克)
(敌军, 包围, 英|法联军在敦刻尔克的海滩上)
(敦刻尔克, 获得, 第90届奥斯卡金像奖最佳音效剪辑奖|最佳音响效果奖和最佳剪辑奖|3)
(乔·赖特, 执导, 至暗时刻)
(至暗时刻, 讲述, 二战)
(温斯顿·丘吉尔, 赢得, 敦刻尔克战役的胜利)
(卢卡·瓜达格尼诺, 执导, 请以你的名字呼唤我)
(提莫西·查拉梅|艾米·汉莫迈克尔·斯图巴主演的同性片, 上映, 请以你的名字呼唤我)
(请以你的名字呼唤我, 改编, 自安德烈·艾席蒙的同名小说)
(请以你的名字呼唤我, 讲述, 24岁的美国博士生奥利弗在意大利结识了17岁的少年艾利欧|两人从而发展出一段暧昧关系的故事|1)
(美国, 博士生, 奥利弗)
(请以你的名字呼唤我, 获得,  )
(请以你的名字呼唤我, 获得, 美国电影学会2017十佳影片|4)
(请以你的名字呼唤我, 获得,  )
(请以你的名字呼唤我, 获得, 第90届奥斯卡金像奖最佳改编剧本奖)
(月光男孩, 获得, 第89届奥斯卡金像奖最佳影片奖|2)
(月光男孩, 排名, 第44)
(月光男孩, 排名, 第44)
(英国卫报, 评选, 月光男孩为21世纪最佳影片100部)
(位, 列, 月光男孩为21世纪最佳影片100部)
(达米恩·查泽雷, 执导, 爱乐之城)
(瑞恩·高斯林|艾玛·斯通约翰·传奇罗丝玛丽·德薇特芬·维特洛克水野索诺娅JK西蒙斯主演的喜剧歌舞片, 上映, 爱乐之城)
(爱乐之城, 讲述, 一位爵士乐钢琴家|与一名怀揣梦想的女演员之间的爱情故事|1)
(爱乐之城, 获得, 第74届金球奖音乐喜剧类最佳影片|2)
(美国派拉蒙影业公司, 发行, 降临)
(降临, 讲述, 12个神秘的外星飞船降临在地球上时所发生的故事|1)
(他, 拒绝, 携带武器上战场)
(美国二十世纪福斯电影公司, 发行, 隐藏人物)
(隐藏人物, 讲述在, 二十世纪的60年代)
(丹泽尔·华盛顿|维奥拉·戴维斯, 主演, 藩篱)
(故事, 有着, 藩篱)
(赴汤蹈火, 讲述, 一对兄弟被财政危机所困|为了赎回农场无奈之下决定抢银行|却遭遇到德州巡警追捕的故事)
( 海边的曼彻斯特, 获得, 2016美国电影协会十佳电影)
(聚焦, 为, 背景)
(聚焦, 讲述, 几位记者为了找出事实真相历经艰难的过程|1)
(聚焦, 获得, 最佳影片奖|和最佳原创剧本奖)
(亚当·麦凯, 执导, 大空头由美国派拉蒙影业公司发行的传记剧情片)
(克里斯蒂安·贝尔|史蒂夫·卡瑞尔瑞恩·高斯林布拉德·皮特凯伦·吉兰梅丽莎·里奥玛丽莎·托梅拉菲·斯波约翰·马加罗, 联合, 大空头由美国派拉蒙影业公司发行的传记剧情片)
(约翰·克劳利, 执导, 布鲁克林一部爱情喜剧片)
(西尔莎·罗南|艾米莉·理查兹和多姆纳尔·格利森, 主演, 布鲁克林一部爱情喜剧片)
(布鲁克林, 讲述, 爱尔兰姑娘艾莉丝来到纽约)
(布鲁克林, 希望, 可以闯出一片天地)
(爱尔兰, 姑娘, 艾莉丝)
(华特·迪士尼电影工作室, 发行, 间谍之桥)
(美国, 律师, 詹姆斯·多诺万真人真事)
(乔治·米勒, 执导, 疯狂的麦克斯4：狂暴之路)
(汤姆·哈迪等|查理兹·塞隆和尼古拉斯·霍尔特, 主演, 疯狂的麦克斯4：狂暴之路)
(前公路, 巡警, 麦克斯)
(疯狂的麦克斯4：狂暴之路, 获得, 最佳剪辑等6个奖项|2)
(火星救援, 讲述, 由于一场沙尘暴与他的团队马克失联|孤身一人置身于火星面临着飞船损毁|想方设法回地球的故事)
( 荒野猎人, 获得, 第73届金球奖剧情类最佳电影奖最佳男主角奖|和最佳导演奖)
(荒野猎人, 获得, 最佳导演|最佳男主角和最佳摄影奖2)
(兰纳德·阿伯拉罕森, 执导, 房间)
(房间, 改编, 自爱玛·多诺霍的)
(房间改编自爱玛·多诺霍的同名原著小说, 讲述, 一个女孩被邻居所骗)
(房间改编自爱玛·多诺霍的同名原著小说, 囚禁, 长达七年久之故事|1)
(墨西哥, 导演, 亚利桑德罗·冈萨雷斯·伊纳里图)
(迈克尔·基顿|艾玛·斯通爱德华·诺顿, 主演, 鸟人|Birdman墨西哥导演亚利桑德罗·冈萨雷斯·伊纳里图执导的一部喜剧片)
(鸟人, 获得, 第87届奥斯卡金像奖最佳影片最佳导演|最佳原创剧本|最佳摄影等四项大奖)
(少年时代, 获, 剧情类最佳影片|最佳导演最佳女配角三项大奖)
(英国卫报, 评选, 少年时代为21世纪最佳影片100部)
(位, 列, 少年时代为21世纪最佳影片100部)
(克林特·伊斯特伍德, 执导, 美国狙击手)
(美国, 著名狙击手, 克里斯·凯尔)
(莫腾·泰杜姆, 执导, 模仿游戏|TheImitationGame)
(模仿游戏, 获得, 第87届奥斯卡金像奖最佳改编剧本奖)
(布达佩斯大饭店, 美国导演, 韦斯·安德森)
(美国, 导演, 韦斯·安德森)
(影片, 讲述, 战争时期一个欧洲著名大饭店看门人的传奇)
(布达佩斯大饭店, 获, 第87届奥斯卡金像奖最佳服装设计|最佳艺术指导|3)
(阿娃·杜威内, 执导, 塞尔玛)
(塞尔玛, 讲述, 美国民权斗士马丁·路德·金1965年组织的由塞尔玛向蒙哥马利进军行动的故事|1)
(美国, 民权斗士, 马丁·路德·金)
(影片灵感, 源于, 简·王尔德的回忆录|飞向无限和霍金在一起的日子|讲述了知名物理学家史蒂芬·霍金|和他的第一任妻子简·王尔德始于剑桥大学的爱情故事|及霍金患病前后的励志传奇)
(知名物理学家史蒂芬·霍金|和他的第一任妻子简·王尔德, 始于, 剑桥大学的爱情故事|及霍金)
(电影为奴十二年, 获得, 金球奖最佳剧情片)
(为奴十二年, 获得, 最佳影片奖|最佳女配角最佳改编剧本奖三项大奖|3)
(英国卫报, 评选, 为奴十二年为21世纪最佳影片100部)
(位, 列, 为奴十二年为21世纪最佳影片100部)
(华尔街, 传奇人物, 乔丹·贝尔)
(大卫·O拉塞尔, 执导, 美国骗局)
(新泽西州卡姆登市, 市长, 卡米·波利托)
(影片, 讲述, 一个酒鬼深信自己中了100万美元的彩票大奖|为领奖|他需要踏上|一段从蒙大拿到内布拉斯加的漫长旅程的故事)
(他, 需要, 踏上|一段从蒙大拿到内布拉斯加的漫长旅程的故事)
(4天, 后, 美国)
(斯蒂芬·弗雷斯, 执导, 菲洛梅娜)
(故事, 讲述, 一名叫做菲洛梅娜的女子用半个多世纪寻找被从自己身边强行带走的孩子的故事|1)
(一名叫做菲洛梅娜的女子, 寻找, 被从自己身边强行带走的孩子的故事)
(焦点电影公司, 制作, 达拉斯买家俱乐部)
(阿方索·卡隆, 执导, 地心引力)
(桑德拉·布洛克|和乔治·克鲁尼, 主演, 地心引力)
( 逃离德黑兰, 获得, 第85届奥斯卡金像奖最佳影片奖)
(爱, 获得, 第85节奥斯卡最佳外语片等多项大奖|1)
(昆汀·塔伦蒂诺, 执导, 被解救的姜戈由美国韦恩斯坦国际影业公司出品的西部动作片)
(杰米·福克斯|克里斯托弗·瓦尔兹莱昂纳多·迪卡普里奥塞缪尔·杰克逊凯丽·华盛顿, 领衔, 被解救的姜戈由美国韦恩斯坦国际影业公司出品的西部动作片)
(被解救的姜戈, 讲述, 德国医生金·舒尔茨将黑奴姜戈从奴隶贩子手里解救|并且帮助姜戈救出他的妻子)
(德国, 医生, 金·舒尔茨)
(拉吉·利执导剧情片, 主演, 悲惨世界)
(达米安·勃纳尔等|亚历克西斯·曼蒂, 主演, 悲惨世界)
(李安, 执导, 少年派的奇幻漂流根据扬·马特尔于2001年发表的同名小说而改编的一部3D电影)
(少年派的奇幻漂流, 获得, 包括最佳导演|最佳视觉效果在内四项奖项|1)
(大卫·O拉塞尔, 执导, 乌云背后的幸福线)
(詹妮弗·劳伦斯, 主演, 乌云背后的幸福线)
(乌云背后的幸福线, 获, 2012年第37届多伦多国际电影节选择奖|1)
(猎杀本·拉登, 讲述, 一名美国CIA探员玛雅带领一组美国海豹突击队在巴基斯坦射杀基地组织头目本·拉登的故事)
(法国, 导演, 迈克尔·哈扎纳维希乌斯)
(艺术家故事, 发生在, 1927年到1932年的好莱坞)
(泰伦斯·马力克, 执导, 生命之树)
(后裔, 讲述, 主人公他和孩子们重新体验到人生的另一个新境界的故事)
(史蒂芬·戴德利, 执导, 特别响，非常近)
(一位, 大学, 女孩斯基特)
(电影, 讲述, 12岁的雨果|卡布里特在遇到了一位穷苦的玩具推销员|以及他的教女伊莎贝尔之后进入了一个奇特的世界|并有幸认识了魔术大师兼科幻电影制作的始祖乔治·梅里爱的有趣故事)
(12岁的雨果|卡布里特, 进入, 一个奇特的世界)
(12岁的雨果|卡布里特, 认识, 魔术大师兼科幻电影制作的始祖乔治·梅里爱的有趣故事)
(雨果, 形容, 为马丁·斯科塞斯写给电影的一封情书)
(雨果, 荣获, 第84届奥斯卡金像奖11项提名)
(影片战马, 改编, 自英国桂冠作家麦克·莫波格的同名小说)
(英国桂冠, 作家, 麦克·莫波格)
(英国农场, 少年, 艾伯特)
(国王的演讲汤姆·霍珀, 执导, 科林·费斯|杰弗里·拉什主演的英国电影)
(国王的演讲, 开始, 点映)
(127小时, 为, 题材)
(黑天鹅, 讲述, 一个有关芭蕾舞的超自然惊悚故事)
(她, 发现, 自己被困在了与另一个舞者的竞争状态中)
(她|自己, 出现, 错觉)
(派拉蒙影业公司, 发行, 斗士)
(克里斯托弗·诺兰, 执导, 盗梦空间)
(丽莎·查罗登科, 执导, 孩子们都很好)
(安妮特·贝宁|朱丽安·摩尔马克·鲁法洛米娅·华希科沃斯卡乔什·哈切森亚雅·达科斯塔左思莎·马梅特主演的情感电影, 上映, 孩子们都很好)
(孩子们都很好, 讲述, 女同性伴侣可暗藏隐忧|保罗的介入恰好成为了这个家庭矛盾爆发的导火索|1)
(网站facebook, 创始人, 马克·扎克伯格)
(皮克斯动画, 制作, 玩具总动员3|ToyStory3一部)
(张磊|王磊, 执导, 大地惊雷)
(冬天的骨头, 讲述, 一个17岁的小姑娘)
(冬天的骨头, 寻找, 毒贩父亲的故事)
(冬天的骨头, 获, 2011年第83届奥斯卡金像奖)
(影片, 讲述, 1967年发生在美国一个犹太人社区的普通人的故事|于2009年10月2日在美国上映1)
(罗勒·莎菲, 执导, 成长教育)
( 阿凡达, 讲述, 人类穿上阿凡达的躯壳)
(人类, 穿, 阿凡达)
(轮椅代步, 前海军, 杰克)
(李·丹尼尔斯, 执导, 珍爱人生)
(加布蕾·丝迪贝等|莫妮克宝拉·巴顿玛丽亚·凯莉主演的剧情片, 上映, 珍爱人生)
(珍爱, 讲述, 一位超重|文盲的黑人女孩)
(珍爱, 让, 改变了人生的方向的故事|1)
(彼特·道格特, 执导, 飞屋环游记)
(贾森·雷特曼, 执导, 在云端)
(家公司, 裁员专家, 瑞恩·宾厄姆)
(英国, 导演, 丹尼·博伊尔所)
(英国导演丹尼·博伊尔所, 执导, 影片贫民窟的百万富翁)
(印度作家维卡斯·史瓦卢普的|VikasSwarup作品, 改编, 影片贫民窟的百万富翁)
(印度, 作家, 维卡斯·史瓦卢普)
(印度街头, 少年, 贾马勒)
(大卫·芬奇, 执导, 本杰明·巴顿奇事)
(布拉德·皮特|凯特·布兰切特塔拉吉·P|汉森等, 主演, 本杰明·巴顿奇事)
(本杰明·巴顿奇事, 改编自, 弗朗西斯·斯科特·基·菲茨杰拉德所著同名小说)
(朗·霍华德, 执导, 对话尼克松)
(麦克·辛|弗兰克·兰格拉, 主演, 对话尼克松)
(对话尼克松, 改编, 自同名话剧)
(对话尼克松, 讲述, 水门事件爆发五年后尼克松接受脱口秀主持人福斯特访谈的经过|1)
(格斯·范·桑特, 执导, 米尔克)
(2008年11月, 26日, 美国)
(米尔克, 获得, 第81届奥斯卡金像奖6项提名)
(美国韦恩斯坦国际影业公司, 出品, 朗读者)
(史蒂芬·戴德利, 执导, 朗读者由美国韦恩斯坦国际影业公司出品的剧情片)
(凯特·温丝莱特|大卫·克劳斯拉尔夫·费因斯, 领衔, 朗读者由美国韦恩斯坦国际影业公司出品的剧情片)
(德国, 作家, 本哈德·施林克)
(朗读者, 讲述, 20世纪五十年代少年迈克|和中年女子汉娜展开的一段刻骨铭心的爱情故事)
(老无所依, 派, 拉蒙出品的一部时装西部电影)
(老无所依, 获得, 第80届奥斯卡金像奖最佳电影)
(环球影业, 制作, 赎罪)
(乔·怀特, 执导, 赎罪)
(赎罪, 改编自, 伊恩·麦克尤恩所著同名小说)
(贾森·雷特曼, 执导, 朱诺)
(托尼·吉尔罗伊, 执导, 迈克尔·克莱顿)
(乔治·克鲁尼|汤姆·威尔金森蒂尔达·斯文顿主演的惊悚动作电影, 上映, 迈克尔·克莱顿)
(迈克尔·克莱顿, 讲述, 律师迈克尔·克莱顿必须在事业|和道德之间做出抉择的故事|1)
(保罗·托马斯·安德森, 执导, 血色将至)
(丹尼尔·戴|刘易斯保罗·达诺狄龙·弗雷泽尔凯文·J奥康纳塞伦·希德联合的|主演历史剧情片, 上映, 血色将至)
(血色将至, 讲述, 19世纪末20世纪初的世纪之交)
(英国卫报, 评选, 血色将至为21世纪最佳影片100部)
(位, 列, 血色将至为21世纪最佳影片100部)
(无间道风云, 翻拍自, 香港电影经典影片无间道)
(硫磺岛的来信, 讲述在, 第二次世界大战尾声)
(硫磺岛的来信, 荣获, 第64届金球奖年最佳外语片奖等|第79届奥斯卡金像奖最佳音效奖)
(阳光小美女, 执导, 一部家庭喜剧片)
( 阳光小美女, 讲述, 胡弗一家总有着各种各样的理不清的问题|可当7岁的小女儿奥莉芙听到广播中传来的阳光小美女选美比赛那一刹那|他们决定没有重要)
(7岁的小女儿奥莉芙, 听到, 广播中传来的阳光小美女选美比赛那一刹那)
(7岁的小女儿奥莉芙, 听到, 广播中传来的阳光小美女选美比赛那一刹那)
(7岁, 小女儿, 奥莉芙)
(斯蒂芬·弗雷斯, 执导, 女王)
(海伦·米伦|迈克尔·辛詹姆斯·克伦威尔海伦·麦克洛瑞阿历克斯·杰宁斯主演的传记电影, 上映, 女王)
(女王一个以真实事件为背景|而虚构的故事, 讲述, 英国王妃黛安娜身亡后|英国王室|与大众之间出现的矛盾|以及布莱尔首相|与女王之间的交流|沟通|1)
(英国, 王妃, 黛安娜)
(保罗·哈吉斯, 执导, 撞车)
(影片, 讲述, 由一起普普通通的撞车事故而引发的一些种族歧视问题的故事)
(撞车, 获得, 第78届奥斯卡金像奖最佳影片)
(李安, 执导, 断背山)
(希斯·莱杰|杰克·吉伦哈尔琳达·卡德里尼安娜·法瑞丝安妮·海瑟薇米歇尔·威廉姆斯主演的爱情片, 上映, 断背山)
(断背山, 改编自, 安妮·普鲁克斯所著的同名短篇小说)
(贝尼特·米勒, 执导, 卡波特)
(卡波特, 讲述, 作家杜鲁门·卡波特调查1959年11月15日堪萨斯州的四口之家灭门惨案)
(1959年11月, 15日, 堪萨斯州)
(乔治·克鲁尼, 执导, 晚安，好运)
(大卫·斯特雷泽恩|乔治·克鲁尼派翠西娅·克拉克森杰夫·丹尼尔斯小罗伯特·唐尼弗兰克·朗格拉主演的历史片, 上映, 晚安，好运)
(晚安，好运, 讲述, 二十世纪五十年代的记者爱德华·莫罗就共产党人问题无畏地|与参议员麦卡锡作对抗的故事|1)
(慕尼黑, 讲述, 1972年慕尼黑奥运会以色列运动员被恐怖组织虐杀事件过后以色列暗杀小组开始一命|抵一命的复仇式追杀的故事)
(恐怖组织, 过, 1972年慕尼黑奥运会以色列运动员)
(一位, 有名拳击教练, 法兰基)
(一位, 学徒, 麦琪)
( 百万美元宝贝, 获得, 第77届奥斯卡金像奖最佳影片最佳导演等|最佳女主角最佳男配角奖项)
(马丁·斯科塞斯, 执导, 飞行家)
(莱昂纳多·迪卡普里奥等|凯特·布兰切特凯特·贝金赛尔人主演的剧情片, 上映, 飞行家)
(飞行家, 讲述, 霍华德·休斯成为好莱坞制片人)
(飞行家, 主持, 蓝云杉飞机的发明的|和改进故事)
(马克·福斯特, 执导, 寻找梦幻岛由米拉麦克斯影业公司发行的传记电影)
(约翰尼·德普|凯特·温斯莱特朱莉·克里斯蒂拉妲·米契尔达斯汀·霍夫曼弗莱迪·海默, 主演, 寻找梦幻岛由米拉麦克斯影业公司发行的传记电影)
(环球影业公司, 发行, 灵魂歌王)
(灵魂歌王, 讲述, 辉煌的传奇故事)
(杯酒人生, 讲述, 两个生活|失意的中年人到红酒基地旅行)
(杯酒人生, 想, 借酒|浇愁)
(索菲亚·科波拉, 执导, 迷失东京2003年8月29日上映的一部美国日本喜剧爱情片)
(斯嘉丽·约翰逊等|比尔·默瑞人, 主演, 迷失东京2003年8月29日上映的一部美国日本喜剧爱情片)
(迷失东京, 获, 第76届奥斯卡金像奖最佳原创剧本奖)
(怒海争锋, 讲述, 19世纪初)
(神秘河, 改编, 自美国作家丹尼斯·勒翰的同名小说|1)
(美国, 作家, 丹尼斯·勒翰)
(徐宗政, 执导, 奔腾年代)
(芝加哥, 发布, 首个预告)
(英国, 女作家, 弗吉尼亚·伍尔芙)
(波兰, 犹太作曲家|和钢琴家, 席皮尔曼)
(钢琴家, 描写, 一个波兰犹太钢琴家在二战期间艰难生存的故事)
(朗·霍华德, 执导, 美丽心灵)
(罗素·克劳等|艾德·哈里斯詹妮弗·康纳利保罗·贝坦尼亚当·戈德堡贾德·赫希乔什·卢卡斯安东尼·拉普克里斯托弗·普卢默主演的剧情片|美丽心灵, 上映, 美丽心灵)
(美丽心灵, 讲述, 患有精神分裂症的数学家约翰·福布斯·纳什)
(罗伯特·奥特曼, 执导, 高斯福庄园)
(克里斯汀·斯科特·托马斯|汤姆·霍兰德尔迈克尔·甘本主演的剧情片, 上映, 高斯福庄园)
(高斯福庄园, 讲述, 威廉爵士|和他的妻子在参加高斯福庄园举行的狩猎会时意外身亡|由在场的名流们为他寻找凶手的故事|1)
(意外边缘, 讲述, 弗兰克的|与娜塔莉恋情)
(意外边缘, 遭到, 弗兰克父母的强烈反对)
(意外边缘, 获得, 纽约影评人协会奖最佳影片|2)
(巴兹·鲁赫曼, 执导, 红磨坊)
(雷德利·斯科特, 执导, 角斗士)
(罗素·克劳等|杰昆·菲尼克斯康妮·尼尔森主演的动作片, 上映, 角斗士)
(角斗士, 讲述, 康茂德在篡位成功后下令杀死了马克西姆斯的妻儿|之后马克西姆斯为了复仇于和康茂德在角斗场上展开了一场生死决斗的故事|1)
(角斗士, 获得, 第73届奥斯卡奖最佳电影奖|2)
(薇安, 带, 她6岁的小女儿)
(薇, 安, 在小镇教堂的街对面开了一家风味独特的巧克力店|该镇镇长等|以及神父用各种方法阻止居民光顾薇安的小店|并企图把她永远赶出小镇)
(该镇镇长等|以及神父, 企图, 把她永远赶出小镇)
(英俊的吉普塞流浪汉洛克斯, 带, 她|和其他向往新生活方式的居民们)
(李安, 执导, 卧虎藏龙2000年的一部武侠动作电影)
(周润发等|杨紫琼和章子怡, 主演, 卧虎藏龙2000年的一部武侠动作电影)
(卧虎藏龙, 拥有, 多项获奖记录)
(卧虎藏龙, 荣获, 第73届奥斯卡最佳外语片等4项大奖)
(英国卫报, 评选, 卧虎藏龙)
(21世纪最佳影片100部位, 列, 卧虎藏龙)
(史蒂文·索德伯格, 执导, 永不妥协2000年上映的一部美国电影)
(史蒂文·索德伯格, 执导, 毒品网络)
(山姆·曼德斯, 执导, 美国丽人)
(安妮特·贝宁|索拉·伯奇等, 主演, 美国丽人)
(弗兰克·德拉邦特, 执导, 绿里奇迹华纳兄弟影片公司出品的悬疑电影)
(约翰·麦登, 执导, 莎翁情史环球影片公司1998年出品的爱情电影)
(影片, 点, 其创作罗密欧与朱丽叶的主因|及过程)
(一代, 文豪, 莎士比亚)
(伊丽莎白, 讲述, 伊丽莎白一世从天真无邪的单纯少女变成兼具智慧|与勇气的一代铁腕女王的人生经历|1)
(伊丽莎白一世, 变成, 兼具智慧|与勇气的一代铁腕女王的人生经历|1)
(美丽人生, 讲述, 一对犹太父子被送进了纳粹集中营|父亲利用自己的想像力|扯谎|说他们正身处一个游戏当中|最后父亲让没有受到伤害|而却自己惨死的故事)
(美丽人生, 获得, 最佳外语片|最佳男主角最佳配乐三项奖项|1)
(史蒂文·斯皮尔伯格, 执导, 拯救大兵瑞恩梦工厂1998年出品的战争片)
(汤姆·汉克斯等|汤姆·塞兹摩尔和马特·达蒙, 出演, 拯救大兵瑞恩梦工厂1998年出品的战争片)
(拯救大兵瑞恩, 描述, 诺曼底登陆后瑞恩家4名于前线参战的儿子中除了下落不明外皆已于两周内陆续在各地其他3个儿子战死)
(美国陆军, 参谋长, 马歇尔)
(美国, 作家, 詹姆斯·琼斯)
(细细的红线, 讲述, 在1942年到1943年瓜达尔卡纳尔岛战役期间一个名为查理斯火炮连的战争故事|于1999年1月15日在美国上映1)
(美国, 二十世纪, 公司)
(泰坦尼克号, 出品, 爱情片)
(不同阶层人, 穷画家, 杰克)
(詹姆斯·布鲁克斯, 执导, 尽善尽美)
(杰克·尼科尔森等|海伦·亨特格雷戈·金尼尔主演的喜剧片, 上映, 尽善尽美)
(尽善尽美, 讲述, 作家梅尔文在遇到邻居西蒙等|餐厅女招待卡罗尔·康奈莉人后从一个主张种族主义|和性别歧视的人变成了一个慈善者的故事|1)
(彼得·卡坦纽, 执导, 光猪六壮士)
(光猪六壮士, 讲述, 刚下岗的钢铁工人盖茨|和戴夫组织成立当地第一个专门的男人脱衣舞团的故事)
(柯蒂斯·汉森, 执导, 洛城机密)
(洛城机密, 获得, 9项奥斯卡奖提名)
(洛城机密, 获得, 最佳女配角|和最佳改编剧本2项大奖)
(安东尼·明格拉, 执导, 影片英国病人)
(卡梅伦·克罗, 执导, 甜心先生索尼影视娱乐公司出品的剧情片)
(汤姆·克鲁斯等|小库珀·古丁蕾妮·齐薇格凯利·普雷斯顿杰瑞·奥康奈尔杰·摩尔邦尼·亨特, 主演, 甜心先生索尼影视娱乐公司出品的剧情片)
(甜心先生, 讲述, 灰心|热心面对生活并得到了众人帮助最后走向成功的故事|1)
